ID;s;constellation;Q;mu;-K;K^4;g;
228;3;[3, 1, 3];[[1,1,1,1,0,0,0],[0,0,0,1,1,1,1]];[1,2];[3,2];352;T[1]*T[5]^2+T[2]*T[6]^2+T[4]*T[7];
229;3;[3, 1, 3];[[1,1,1,1,0,0,0],[0,0,0,1,1,1,1]];[1,3];[3,1];140;T[1]*T[5]^3+T[2]*T[6]^3+T[4]*T[7]^2;
230;3;[3, 1, 3];[[1,1,1,1,0,0,0],[0,0,0,1,1,1,1]];[2,3];[2,1];65;T[1]^2*T[5]^3+T[2]^2*T[6]^3+T[3]*T[4]*T[7]^2;
231;3;[3, 1, 3];[[1,1,1,1,0,0,0],[0,0,0,1,1,1,1]];[2,3];[2,1];65;T[1]^2*T[5]^3+T[2]^2*T[6]^3+T[4]^2*T[7];
232;3;[3, 1, 3];[[1,1,1,1,0,0,0],[0,0,0,1,1,1,1]];[2,3];[2,1];65;T[1]^2*T[5]^3+T[2]*T[3]*T[6]^3+T[4]^2*T[7]^2;
233;3;[3, 1, 3];[[1,1,1,2,0,0,0],[0,0,0,1,1,1,1]];[2,3];[3,1];122;T[1]^2*T[5]^3+T[2]^2*T[6]^3+T[4]*T[7]^2;
234;3;[3, 1, 3];[[1,1,1,2,0,0,0],[0,0,0,1,1,1,1]];[2,3];[3,1];122;T[1]^2*T[5]^3+T[2]*T[3]*T[6]^3+T[4]*T[7]^2;
235;3;[2, 2, 3];[[1,1,1,1,0,0,0],[0,0,1,1,1,1,1]];[1,3];[3,2];208;T[1]*T[5]^3+T[2]*T[6]^3+T[4]*T[7]^2;
236;3;[2, 2, 3];[[1,1,1,1,0,0,0],[0,0,1,1,1,1,1]];[1,3];[3,2];208;T[1]*T[5]^3+T[3]*T[6]^2+T[4]*T[7]^2;
237;3;[2, 1, 4];[[1,1,1,0,0,0,0],[0,0,1,1,1,1,1]];[1,4];[2,1];29;T[1]*T[4]^4+T[2]*T[6]^4+T[3]*T[7]^3;
238;3;[2, 1, 4];[[1,1,1,0,0,0,0],[0,0,1,1,1,1,1]];[1,4];[2,1];29;T[1]*T[4]^3*T[5]+T[2]*T[6]^4+T[3]*T[7]^3;
239;3;[2, 1, 4];[[1,1,1,0,0,0,0],[0,0,1,1,1,1,1]];[1,4];[2,1];29;T[1]*T[4]^2*T[5]^2+T[2]*T[6]^4+T[3]*T[7]^3;
240;3;[2, 1, 4];[[1,1,1,0,0,0,0],[0,0,1,1,1,1,1]];[1,4];[2,1];29;T[1]*T[4]^4+T[2]*T[5]^4+T[3]*T[6]*T[7]^2;
241;3;[2, 1, 4];[[1,1,1,0,0,0,0],[0,0,1,1,1,2,3]];[0,6];[3,2];80;T[4]^5*T[5]+T[6]^3+T[7]^2;
242;4;[1, 3, 1, 2];[[1,1,1,1,1,0,0],[-1,0,0,0,1,1,1]];[3,1];[2,1];113;T[2]*T[4]^2*T[7]+T[3]^3*T[6]+T[1]*T[5]^2;
243;4;[1, 3, 1, 2];[[1,1,1,1,1,0,0],[-1,0,0,0,1,1,1]];[3,1];[2,1];113;T[3]^3*T[6]+T[4]^3*T[7]+T[1]*T[5]^2;
244;4;[1, 3, 1, 2];[[1,1,1,1,1,0,0],[0,1,1,1,2,1,1]];[2,2];[3,5];433;T[1]*T[5]+T[2]*T[4]+T[3]^2;
245;4;[1, 3, 1, 2];[[1,1,1,1,1,0,0],[0,2,2,2,3,1,1]];[3,6];[2,5];145;T[1]*T[5]^2+T[2]^2*T[3]+T[4]^3;
246;4;[1, 2, 1, 3];[[1,1,1,1,0,0,0],[0,1,1,2,1,1,1]];[2,4];[2,3];144;T[1]^2*T[6]*T[7]^3+T[2]*T[3]*T[5]^2+T[4]^2;
247;4;[1, 2, 1, 3];[[1,1,1,1,0,0,0],[0,1,1,2,1,1,1]];[2,4];[2,3];144;T[1]*T[3]*T[6]^3+T[2]^2*T[5]*T[7]+T[4]^2;
248;4;[1, 2, 1, 3];[[1,1,1,2,0,0,0],[0,1,1,3,1,1,1]];[4,6];[1,2];22;T[1]^4*T[5]*T[7]^5+T[2]*T[3]^3*T[6]^2+T[4]^2;
249;4;[1, 2, 1, 3];[[1,1,1,2,0,0,0],[0,1,1,3,1,1,1]];[4,6];[1,2];22;T[1]*T[3]^3*T[6]^3+T[2]^4*T[5]*T[7]+T[4]^2;
250;4;[1, 2, 1, 3];[[1,1,1,2,0,0,0],[0,1,1,3,1,1,1]];[4,6];[1,2];22;T[1]^3*T[2]*T[7]^5+T[3]^4*T[5]*T[6]+T[4]^2;
251;4;[1, 2, 1, 3];[[1,1,1,2,0,0,0],[0,1,1,3,1,1,1]];[4,6];[1,2];22;T[1]^4*T[6]^3*T[7]^3+T[2]^3*T[3]*T[5]^2+T[4]^2;
252;4;[1, 4, 1, 1];[[1,1,1,1,1,1,0],[-1,0,0,0,0,1,1]];[2,0];[4,1];431;T[1]*T[6]+T[2]*T[4]+T[3]^2;
253;4;[1, 4, 1, 1];[[1,1,1,1,1,1,0],[-1,0,0,0,0,1,1]];[2,0];[4,1];431;T[1]*T[6]+T[2]*T[3]+T[4]*T[5];
254;4;[1, 4, 1, 1];[[1,1,1,1,1,1,0],[-1,0,0,0,0,1,1]];[4,0];[2,1];62;T[1]^2*T[6]^2+T[2]^3*T[4]+T[3]^3*T[5];
255;4;[1, 4, 1, 1];[[1,1,1,1,1,2,0],[-1,0,0,0,0,1,1]];[3,0];[4,1];376;T[2]^2*T[3]+T[4]^3+T[1]*T[6];
256;4;[1, 4, 1, 1];[[1,1,1,1,1,2,0],[-1,0,0,0,0,1,1]];[3,0];[4,1];376;T[2]*T[5]^2+T[3]^2*T[4]+T[1]*T[6];
257;4;[1, 4, 1, 1];[[1,1,1,1,1,2,0],[-1,0,0,0,0,1,1]];[3,0];[4,1];376;T[2]*T[3]*T[5]+T[4]^3+T[1]*T[6];
258;4;[1, 4, 1, 1];[[1,1,1,1,1,3,0],[-1,0,0,0,0,1,1]];[4,0];[4,1];341;T[2]^3*T[4]+T[3]^2*T[5]^2+T[1]*T[6];
259;4;[1, 4, 1, 1];[[1,1,1,1,1,3,0],[-1,0,0,0,0,1,1]];[4,0];[4,1];341;T[2]^3*T[3]+T[4]*T[5]^3+T[1]*T[6];
260;4;[1, 4, 1, 1];[[1,1,1,1,1,3,0],[-1,0,0,0,0,1,1]];[4,0];[4,1];341;T[2]^4+T[3]*T[4]^3+T[1]*T[6];
261;4;[1, 4, 1, 1];[[1,1,1,1,1,3,0],[-1,0,0,0,0,1,1]];[4,0];[4,1];341;T[2]*T[3]^2*T[5]+T[4]^4+T[1]*T[6];
262;4;[1, 4, 1, 1];[[1,1,1,1,3,1,0],[-1,0,0,0,0,1,1]];[6,0];[2,1];31;T[1]^3*T[6]^3+T[2]*T[3]*T[4]^4+T[5]^2;
263;4;[1, 4, 1, 1];[[1,1,1,1,3,1,0],[-1,0,0,0,0,1,1]];[6,0];[2,1];31;T[1]^3*T[6]^3+T[3]^5*T[4]+T[5]^2;
264;4;[1, 4, 1, 1];[[1,1,1,1,3,1,0],[-1,0,0,0,0,1,1]];[6,0];[2,1];31;T[1]^3*T[6]^3+T[2]*T[3]^3*T[4]^2+T[5]^2;
265;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[3]^2*T[4]*T[7]^2+T[1]*T[5]^3+T[2]*T[6]^3;
266;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[2]^4*T[7]^3+T[1]*T[5]^3+T[4]*T[6]^2;
267;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[2]^4*T[7]^3+T[1]*T[5]^3+T[3]*T[6]^3;
268;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[2]^3*T[3]*T[7]^3+T[1]*T[6]^3+T[4]*T[5]^2;
269;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[1]^2*T[2]^2*T[7]^3+T[3]*T[6]^3+T[4]*T[5]^2;
270;4;[3, 1, 2, 1];[[1,1,1,1,0,0,-1],[0,0,0,1,1,1,1]];[1,3];[2,1];83;T[1]*T[5]^3+T[3]*T[6]^3+T[4]^2*T[7];
271;4;[3, 1, 2, 1];[[1,1,1,2,2,3,0],[0,0,0,1,2,3,1]];[6,6];[4,1];55;T[1]*T[2]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
272;4;[3, 1, 2, 1];[[1,1,1,2,2,3,0],[0,0,0,1,2,3,1]];[6,6];[4,1];55;T[1]^4*T[4]*T[7]^5+T[5]^3+T[6]^2;
273;4;[3, 1, 2, 1];[[1,1,1,2,2,3,0],[0,0,0,1,2,3,1]];[6,6];[4,1];55;T[1]^3*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
274;4;[3, 1, 2, 1];[[1,1,1,2,2,3,0],[0,0,0,1,2,3,1]];[6,6];[4,1];55;T[1]^2*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
275;4;[3, 1, 2, 1];[[1,1,1,2,2,3,0],[0,0,0,1,2,3,1]];[6,6];[4,1];55;T[1]^2*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
276;4;[3, 1, 2, 1];[[1,1,1,3,2,3,0],[0,0,0,1,2,3,1]];[6,6];[5,1];83;T[1]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
277;4;[3, 1, 2, 1];[[1,1,1,3,2,3,0],[0,0,0,1,2,3,1]];[6,6];[5,1];83;T[1]^2*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
278;4;[3, 1, 2, 1];[[1,1,1,3,2,3,0],[0,0,0,1,2,3,1]];[6,6];[5,1];83;T[1]*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
279;4;[3, 1, 2, 1];[[1,1,1,4,2,3,0],[0,0,0,1,2,3,1]];[6,6];[6,1];117;T[1]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
280;4;[3, 1, 2, 1];[[1,1,1,4,2,3,0],[0,0,0,1,2,3,1]];[6,6];[6,1];117;T[1]*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
281;4;[3, 1, 2, 1];[[1,1,1,5,2,3,0],[0,0,0,1,2,3,1]];[6,6];[7,1];157;T[1]*T[4]*T[7]^5+T[5]^3+T[6]^2;
282;4;[3, 1, 2, 1];[[1,1,1,6,2,3,0],[0,0,0,1,2,3,1]];[6,6];[8,1];203;T[4]*T[7]^5+T[5]^3+T[6]^2;
283;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^2*T[2]*T[4]^3*T[7]^3+T[5]^3+T[6]^2;
284;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]*T[2]*T[3]*T[4]^3*T[7]^3+T[5]^3+T[6]^2;
285;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^5*T[2]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
286;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^3*T[2]^3*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
287;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^4*T[2]*T[3]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
288;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^3*T[2]^2*T[3]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
289;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^9*T[4]*T[7]^5+T[5]^3+T[6]^2;
290;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^8*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
291;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^7*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
292;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^6*T[2]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
293;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^5*T[2]^4*T[4]*T[7]^5+T[5]^3+T[6]^2;
294;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^7*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
295;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^6*T[2]^2*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
296;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^5*T[2]^3*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
297;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^4*T[2]^4*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
298;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^5*T[2]^2*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
299;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^4*T[2]^3*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
300;4;[3, 1, 2, 1];[[1,1,1,3,4,6,0],[0,0,0,1,2,3,1]];[12,6];[4,1];35;T[1]^3*T[2]^3*T[3]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
301;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^3*T[2]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
302;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^2*T[2]*T[3]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
303;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^8*T[4]*T[7]^5+T[5]^3+T[6]^2;
304;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^7*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
305;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^6*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
306;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^5*T[2]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
307;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^4*T[2]^4*T[4]*T[7]^5+T[5]^3+T[6]^2;
308;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^6*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
309;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^5*T[2]^2*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
310;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^4*T[2]^3*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
311;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^4*T[2]^2*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
312;4;[3, 1, 2, 1];[[1,1,1,4,4,6,0],[0,0,0,1,2,3,1]];[12,6];[5,1];58;T[1]^3*T[2]^3*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
313;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]*T[2]*T[4]^2*T[7]^4+T[5]^3+T[6]^2;
314;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^7*T[4]*T[7]^5+T[5]^3+T[6]^2;
315;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^6*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
316;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^5*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
317;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^4*T[2]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
318;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^5*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
319;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^4*T[2]^2*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
320;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^3*T[2]^3*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
321;4;[3, 1, 2, 1];[[1,1,1,5,4,6,0],[0,0,0,1,2,3,1]];[12,6];[6,1];87;T[1]^3*T[2]^2*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
322;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^6*T[4]*T[7]^5+T[5]^3+T[6]^2;
323;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^5*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
324;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^4*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
325;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^3*T[2]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
326;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^4*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
327;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^3*T[2]^2*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
328;4;[3, 1, 2, 1];[[1,1,1,6,4,6,0],[0,0,0,1,2,3,1]];[12,6];[7,1];122;T[1]^2*T[2]^2*T[3]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
329;4;[3, 1, 2, 1];[[1,1,1,7,4,6,0],[0,0,0,1,2,3,1]];[12,6];[8,1];163;T[1]^5*T[4]*T[7]^5+T[5]^3+T[6]^2;
330;4;[3, 1, 2, 1];[[1,1,1,7,4,6,0],[0,0,0,1,2,3,1]];[12,6];[8,1];163;T[1]^4*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
331;4;[3, 1, 2, 1];[[1,1,1,7,4,6,0],[0,0,0,1,2,3,1]];[12,6];[8,1];163;T[1]^3*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
332;4;[3, 1, 2, 1];[[1,1,1,7,4,6,0],[0,0,0,1,2,3,1]];[12,6];[8,1];163;T[1]^3*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
333;4;[3, 1, 2, 1];[[1,1,1,7,4,6,0],[0,0,0,1,2,3,1]];[12,6];[8,1];163;T[1]^2*T[2]^2*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
334;4;[3, 1, 2, 1];[[1,1,1,8,4,6,0],[0,0,0,1,2,3,1]];[12,6];[9,1];210;T[1]^4*T[4]*T[7]^5+T[5]^3+T[6]^2;
335;4;[3, 1, 2, 1];[[1,1,1,8,4,6,0],[0,0,0,1,2,3,1]];[12,6];[9,1];210;T[1]^3*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
336;4;[3, 1, 2, 1];[[1,1,1,8,4,6,0],[0,0,0,1,2,3,1]];[12,6];[9,1];210;T[1]^2*T[2]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
337;4;[3, 1, 2, 1];[[1,1,1,8,4,6,0],[0,0,0,1,2,3,1]];[12,6];[9,1];210;T[1]^2*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
