ID;s;constellation;Q;mu;-K;K^4;g;
338;4;[3, 1, 2, 1];[[1,1,1,9,4,6,0],[0,0,0,1,2,3,1]];[12,6];[10,1];263;T[1]^3*T[4]*T[7]^5+T[5]^3+T[6]^2;
339;4;[3, 1, 2, 1];[[1,1,1,9,4,6,0],[0,0,0,1,2,3,1]];[12,6];[10,1];263;T[1]^2*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
340;4;[3, 1, 2, 1];[[1,1,1,9,4,6,0],[0,0,0,1,2,3,1]];[12,6];[10,1];263;T[1]*T[2]*T[3]*T[4]*T[7]^5+T[5]^3+T[6]^2;
341;4;[3, 1, 2, 1];[[1,1,1,10,4,6,0],[0,0,0,1,2,3,1]];[12,6];[11,1];322;T[1]^2*T[4]*T[7]^5+T[5]^3+T[6]^2;
342;4;[3, 1, 2, 1];[[1,1,1,10,4,6,0],[0,0,0,1,2,3,1]];[12,6];[11,1];322;T[1]*T[2]*T[4]*T[7]^5+T[5]^3+T[6]^2;
343;4;[3, 1, 2, 1];[[1,1,1,11,4,6,0],[0,0,0,1,2,3,1]];[12,6];[12,1];387;T[1]*T[4]*T[7]^5+T[5]^3+T[6]^2;
344;4;[3, 1, 2, 1];[[1,1,1,12,4,6,0],[0,0,0,1,2,3,1]];[12,6];[13,1];458;T[4]*T[7]^5+T[5]^3+T[6]^2;
345;4;[3, 1, 1, 2];[[1,1,1,2,2,0,0],[0,0,0,1,2,1,1]];[4,4];[3,1];68;T[1]^3*T[2]*T[6]^4+T[3]^2*T[4]*T[7]^3+T[5]^2;
346;4;[3, 1, 1, 2];[[1,1,1,3,2,0,0],[0,0,0,1,2,1,1]];[4,4];[4,1];114;T[1]^3*T[2]*T[6]^4+T[3]*T[4]*T[7]^3+T[5]^2;
347;4;[3, 1, 1, 2];[[1,1,1,4,2,0,0],[0,0,0,1,2,1,1]];[4,4];[5,1];172;T[1]^3*T[2]*T[6]^4+T[4]*T[7]^3+T[5]^2;
348;4;[3, 1, 1, 2];[[1,1,1,4,2,0,0],[0,0,0,1,2,1,1]];[4,4];[5,1];172;T[1]^2*T[2]*T[3]*T[6]^4+T[4]*T[7]^3+T[5]^2;
349;4;[3, 1, 1, 2];[[1,1,1,2,1,0,0],[0,0,0,1,1,1,1]];[3,3];[3,1];102;T[1]^2*T[2]*T[6]^3+T[3]*T[4]*T[7]^2+T[5]^3;
350;4;[3, 1, 1, 2];[[1,1,1,3,1,0,0],[0,0,0,1,1,1,1]];[3,3];[4,1];171;T[1]^2*T[2]*T[6]^3+T[4]*T[7]^2+T[5]^3;
351;4;[3, 1, 1, 2];[[1,1,1,3,1,0,0],[0,0,0,1,1,1,1]];[3,3];[4,1];171;T[1]*T[2]*T[3]*T[6]^3+T[4]*T[7]^2+T[5]^3;
352;4;[2, 2, 2, 1];[[1,1,2,2,1,1,0],[0,0,1,1,1,1,1]];[5,4];[3,1];29;T[1]*T[6]^4+T[2]*T[4]^2*T[7]^2+T[3]*T[5]^3;
353;4;[2, 2, 2, 1];[[1,1,3,3,1,1,0],[0,0,1,1,1,1,1]];[6,4];[4,1];38;T[1]*T[2]*T[6]^4+T[3]*T[5]^3+T[4]^2*T[7]^2;
354;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[3]^2*T[4]*T[7]^3+T[5]^3+T[6]^2;
355;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]*T[2]*T[3]^2*T[7]^4+T[5]^3+T[6]^2;
356;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]^2*T[3]*T[4]*T[7]^4+T[5]^3+T[6]^2;
357;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]*T[2]*T[3]*T[4]*T[7]^4+T[5]^3+T[6]^2;
358;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]^4*T[3]*T[7]^5+T[5]^3+T[6]^2;
359;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]^3*T[2]*T[3]*T[7]^5+T[5]^3+T[6]^2;
360;4;[2, 2, 2, 1];[[1,1,2,2,2,3,0],[0,0,1,1,2,3,1]];[6,6];[5,2];80;T[1]^2*T[2]^2*T[3]*T[7]^5+T[5]^3+T[6]^2;
361;4;[2, 2, 2, 1];[[1,1,3,3,2,3,0],[0,0,1,1,2,3,1]];[6,6];[7,2];112;T[3]*T[4]*T[7]^4+T[5]^3+T[6]^2;
362;4;[2, 2, 2, 1];[[1,1,3,3,2,3,0],[0,0,1,1,2,3,1]];[6,6];[7,2];112;T[1]^3*T[3]*T[7]^5+T[5]^3+T[6]^2;
363;4;[2, 2, 2, 1];[[1,1,3,3,2,3,0],[0,0,1,1,2,3,1]];[6,6];[7,2];112;T[1]^2*T[2]*T[3]*T[7]^5+T[5]^3+T[6]^2;
364;4;[2, 2, 2, 1];[[1,1,4,4,2,3,0],[0,0,1,1,2,3,1]];[6,6];[9,2];144;T[1]^2*T[3]*T[7]^5+T[5]^3+T[6]^2;
365;4;[2, 2, 2, 1];[[1,1,4,4,2,3,0],[0,0,1,1,2,3,1]];[6,6];[9,2];144;T[1]*T[2]*T[3]*T[7]^5+T[5]^3+T[6]^2;
366;4;[2, 2, 2, 1];[[1,1,5,5,2,3,0],[0,0,1,1,2,3,1]];[6,6];[11,2];176;T[1]*T[3]*T[7]^5+T[5]^3+T[6]^2;
367;4;[2, 2, 2, 1];[[1,1,6,6,2,3,0],[0,0,1,1,2,3,1]];[6,6];[13,2];208;T[3]*T[7]^5+T[5]^3+T[6]^2;
368;4;[2, 2, 1, 2];[[1,1,2,2,1,0,0],[0,0,1,1,1,1,1]];[4,4];[3,1];32;T[1]^3*T[2]*T[6]^4+T[3]*T[4]*T[7]^2+T[5]^4;
369;4;[2, 2, 1, 2];[[1,1,1,1,1,0,0],[0,0,1,1,2,1,1]];[2,4];[3,2];128;T[1]*T[3]*T[6]^3+T[2]*T[4]*T[7]^3+T[5]^2;
370;4;[2, 2, 1, 2];[[1,1,2,2,1,0,0],[0,0,1,1,2,1,1]];[2,4];[5,2];192;T[3]*T[6]^3+T[4]*T[7]^3+T[5]^2;
371;4;[2, 2, 1, 2];[[1,1,1,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[2,1];12;T[1]^3*T[2]*T[6]^6+T[3]^3*T[4]*T[7]^2+T[5]^2;
372;4;[2, 2, 1, 2];[[1,1,1,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[2,1];12;T[1]*T[3]^3*T[6]^3+T[2]*T[4]^3*T[7]^3+T[5]^2;
373;4;[2, 2, 1, 2];[[1,1,1,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[2,1];12;T[1]^3*T[3]*T[6]^5+T[2]*T[4]^3*T[7]^3+T[5]^2;
374;4;[2, 2, 1, 2];[[1,1,2,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[3,1];16;T[1]*T[2]*T[3]^2*T[6]^4+T[4]^3*T[7]^3+T[5]^2;
375;4;[2, 2, 1, 2];[[1,1,2,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[3,1];16;T[1]^4*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
376;4;[2, 2, 1, 2];[[1,1,2,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[3,1];16;T[1]^3*T[2]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
377;4;[2, 2, 1, 2];[[1,1,2,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[3,1];16;T[1]^2*T[2]^2*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
378;4;[2, 1, 3, 1];[[1,1,2,1,1,1,0],[0,0,1,1,1,1,1]];[4,4];[3,1];32;T[1]^2*T[3]*T[7]^3+T[4]^4+T[5]^3*T[6];
379;4;[2, 1, 3, 1];[[1,1,2,1,1,1,0],[0,0,1,1,1,1,1]];[4,4];[3,1];32;T[1]*T[2]*T[3]*T[7]^3+T[4]^4+T[5]^3*T[6];
380;4;[2, 1, 3, 1];[[1,1,3,1,1,1,0],[0,0,1,1,1,1,1]];[4,4];[4,1];44;T[1]*T[3]*T[7]^3+T[4]^4+T[5]^3*T[6];
381;4;[2, 1, 3, 1];[[1,1,4,1,1,1,0],[0,0,1,1,1,1,1]];[4,4];[5,1];56;T[3]*T[7]^3+T[4]^4+T[5]^3*T[6];
382;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[3]^3*T[7]^3+T[4]^5*T[5]+T[6]^2;
383;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]*T[2]*T[3]^2*T[7]^4+T[4]^5*T[5]+T[6]^2;
384;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]*T[2]*T[3]^2*T[7]^4+T[4]^3*T[5]^3+T[6]^2;
385;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^4*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
386;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^4*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
387;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^3*T[2]*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
388;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^3*T[2]*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
389;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^2*T[2]^2*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
390;4;[2, 1, 3, 1];[[1,1,2,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[3,1];16;T[1]^2*T[2]^2*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
391;4;[2, 1, 3, 1];[[1,1,3,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[4,1];22;T[1]^3*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
392;4;[2, 1, 3, 1];[[1,1,3,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[4,1];22;T[1]^3*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
393;4;[2, 1, 3, 1];[[1,1,3,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[4,1];22;T[1]^2*T[2]*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
394;4;[2, 1, 3, 1];[[1,1,3,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[4,1];22;T[1]^2*T[2]*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
395;4;[2, 1, 3, 1];[[1,1,4,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[5,1];28;T[1]^2*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
396;4;[2, 1, 3, 1];[[1,1,4,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[5,1];28;T[1]^2*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
397;4;[2, 1, 3, 1];[[1,1,4,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[5,1];28;T[1]*T[2]*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
398;4;[2, 1, 3, 1];[[1,1,4,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[5,1];28;T[1]*T[2]*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
399;4;[2, 1, 3, 1];[[1,1,5,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[6,1];34;T[1]*T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
400;4;[2, 1, 3, 1];[[1,1,5,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[6,1];34;T[1]*T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
401;4;[2, 1, 3, 1];[[1,1,6,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[7,1];40;T[3]*T[7]^5+T[4]^5*T[5]+T[6]^2;
402;4;[2, 1, 3, 1];[[1,1,6,1,1,3,0],[0,0,1,1,1,3,1]];[6,6];[7,1];40;T[3]*T[7]^5+T[4]^3*T[5]^3+T[6]^2;
403;4;[2, 1, 1, 3];[[1,1,1,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[2,1];14;T[2]^2*T[5]^5*T[6]+T[1]*T[3]*T[7]^5+T[4]^2;
404;4;[2, 1, 1, 3];[[1,1,1,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[2,1];14;T[2]^2*T[5]^3*T[6]^3+T[1]*T[3]*T[7]^5+T[4]^2;
405;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]^2*T[5]^5*T[6]+T[3]*T[7]^5+T[4]^2;
406;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]^2*T[5]^3*T[6]^3+T[3]*T[7]^5+T[4]^2;
407;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]*T[2]*T[5]^6+T[3]*T[7]^5+T[4]^2;
408;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]*T[2]*T[5]^5*T[6]+T[3]*T[7]^5+T[4]^2;
409;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]*T[2]*T[5]^4*T[6]^2+T[3]*T[7]^5+T[4]^2;
410;4;[2, 1, 1, 3];[[1,1,2,1,0,0,0],[0,0,1,3,1,1,1]];[2,6];[3,1];20;T[1]*T[2]*T[5]^3*T[6]^3+T[3]*T[7]^5+T[4]^2;
411;5;[1, 2, 1, 1, 2];[[1,1,1,2,1,0,0],[0,1,1,3,2,1,1]];[4,6];[2,3];65;T[2]^3*T[3]*T[7]^2+T[1]*T[5]^3+T[4]^2;
412;5;[1, 2, 1, 1, 2];[[1,1,1,2,1,0,0],[0,1,1,3,2,1,1]];[4,6];[2,3];65;T[2]^3*T[3]*T[6]*T[7]+T[1]*T[5]^3+T[4]^2;
413;5;[1, 2, 1, 1, 2];[[1,1,1,2,1,0,0],[0,1,1,3,2,1,1]];[4,6];[2,3];65;T[2]^4*T[6]*T[7]+T[1]*T[5]^3+T[4]^2;
414;5;[1, 2, 1, 1, 2];[[1,1,1,2,1,0,0],[0,1,1,3,2,1,1]];[4,6];[2,3];65;T[2]^2*T[3]^2*T[6]*T[7]+T[1]*T[5]^3+T[4]^2;
415;5;[3, 1, 1, 1, 1];[[1,1,1,2,3,1,0],[0,0,0,1,2,1,1]];[6,4];[3,1];50;T[3]^4*T[4]*T[7]^3+T[1]*T[2]*T[6]^4+T[5]^2;
416;5;[3, 1, 1, 1, 1];[[1,1,1,2,3,1,0],[0,0,0,1,2,1,1]];[6,4];[3,1];50;T[1]*T[2]*T[6]^4+T[4]^3*T[7]+T[5]^2;
417;5;[3, 1, 1, 1, 1];[[1,1,1,2,3,1,0],[0,0,0,1,2,1,1]];[6,4];[3,1];50;T[1]^5*T[2]*T[7]^4+T[3]*T[4]*T[6]^3+T[5]^2;
418;5;[3, 1, 1, 1, 1];[[1,1,1,2,3,1,0],[0,0,0,1,2,1,1]];[6,4];[3,1];50;T[1]^3*T[2]^3*T[7]^4+T[3]*T[4]*T[6]^3+T[5]^2;
419;5;[3, 1, 1, 1, 1];[[1,1,1,3,3,1,0],[0,0,0,1,2,1,1]];[6,4];[4,1];90;T[3]^3*T[4]*T[7]^3+T[1]*T[2]*T[6]^4+T[5]^2;
420;5;[3, 1, 1, 1, 1];[[1,1,1,3,3,1,0],[0,0,0,1,2,1,1]];[6,4];[4,1];90;T[1]^5*T[2]*T[7]^4+T[4]*T[6]^3+T[5]^2;
421;5;[3, 1, 1, 1, 1];[[1,1,1,3,3,1,0],[0,0,0,1,2,1,1]];[6,4];[4,1];90;T[1]^4*T[2]*T[3]*T[7]^4+T[4]*T[6]^3+T[5]^2;
422;5;[3, 1, 1, 1, 1];[[1,1,1,3,3,1,0],[0,0,0,1,2,1,1]];[6,4];[4,1];90;T[1]^3*T[2]^2*T[3]*T[7]^4+T[4]*T[6]^3+T[5]^2;
423;5;[3, 1, 1, 1, 1];[[1,1,1,4,3,1,0],[0,0,0,1,2,1,1]];[6,4];[5,1];142;T[1]*T[2]*T[6]^4+T[3]^2*T[4]*T[7]^3+T[5]^2;
424;5;[3, 1, 1, 1, 1];[[1,1,1,5,3,1,0],[0,0,0,1,2,1,1]];[6,4];[6,1];206;T[1]*T[2]*T[6]^4+T[3]*T[4]*T[7]^3+T[5]^2;
425;5;[3, 1, 1, 1, 1];[[1,1,1,6,3,1,0],[0,0,0,1,2,1,1]];[6,4];[7,1];282;T[1]*T[2]*T[6]^4+T[4]*T[7]^3+T[5]^2;
426;5;[2, 2, 1, 1, 1];[[1,1,2,2,4,1,0],[0,0,1,1,3,1,1]];[8,6];[3,1];14;T[1]*T[2]*T[6]^6+T[3]^3*T[4]*T[7]^2+T[5]^2;
427;5;[2, 2, 1, 1, 1];[[1,1,2,2,4,1,0],[0,0,1,1,3,1,1]];[8,6];[3,1];14;T[2]^2*T[4]^3*T[7]^3+T[1]*T[3]*T[6]^5+T[5]^2;
428;5;[2, 2, 1, 1, 1];[[1,1,3,3,5,1,0],[0,0,1,1,3,1,1]];[10,6];[4,1];18;T[1]^2*T[3]*T[6]^5+T[2]*T[4]^3*T[7]^3+T[5]^2;
429;5;[2, 2, 1, 1, 1];[[1,1,4,4,6,1,0],[0,0,1,1,3,1,1]];[12,6];[5,1];22;T[1]^3*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
430;5;[2, 2, 1, 1, 1];[[1,1,4,4,6,1,0],[0,0,1,1,3,1,1]];[12,6];[5,1];22;T[1]^2*T[2]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
431;5;[2, 2, 1, 1, 1];[[1,1,4,4,7,2,0],[0,0,1,1,3,1,1]];[14,6];[5,1];20;T[2]^2*T[4]^3*T[7]^3+T[3]*T[6]^5+T[5]^2;
432;5;[2, 2, 1, 1, 1];[[1,1,4,4,7,2,0],[0,0,1,1,3,1,1]];[14,6];[5,1];20;T[1]*T[2]*T[4]^3*T[7]^3+T[3]*T[6]^5+T[5]^2;
433;5;[2, 2, 1, 1, 1];[[1,1,5,5,8,2,0],[0,0,1,1,3,1,1]];[16,6];[6,1];24;T[1]*T[3]*T[6]^5+T[2]*T[4]^3*T[7]^3+T[5]^2;
434;5;[2, 2, 1, 1, 1];[[1,1,6,6,9,2,0],[0,0,1,1,3,1,1]];[18,6];[7,1];28;T[1]^2*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
435;5;[2, 2, 1, 1, 1];[[1,1,6,6,9,2,0],[0,0,1,1,3,1,1]];[18,6];[7,1];28;T[1]*T[2]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
436;5;[2, 2, 1, 1, 1];[[1,1,7,7,11,3,0],[0,0,1,1,3,1,1]];[22,6];[8,1];30;T[2]*T[4]^3*T[7]^3+T[3]*T[6]^5+T[5]^2;
437;5;[2, 2, 1, 1, 1];[[1,1,8,8,12,3,0],[0,0,1,1,3,1,1]];[24,6];[9,1];34;T[1]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
438;5;[2, 2, 1, 1, 1];[[1,1,10,10,15,4,0],[0,0,1,1,3,1,1]];[30,6];[11,1];40;T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
439;5;[2, 1, 1, 1, 2];[[1,1,3,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[4,1];22;T[1]^3*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
440;5;[2, 1, 1, 1, 2];[[1,1,3,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[4,1];22;T[1]^2*T[2]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
441;5;[2, 1, 1, 1, 2];[[1,1,4,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[5,1];28;T[1]^2*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
442;5;[2, 1, 1, 1, 2];[[1,1,4,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[5,1];28;T[1]*T[2]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
443;5;[2, 1, 1, 1, 2];[[1,1,5,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[6,1];34;T[1]*T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
444;5;[2, 1, 1, 1, 2];[[1,1,6,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[7,1];40;T[3]*T[6]^5+T[4]^3*T[7]^3+T[5]^2;
445;5;[2, 1, 1, 1, 2];[[1,1,3,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[4,1];24;T[1]*T[3]*T[6]^5+T[2]*T[4]^3*T[7]^3+T[5]^2;
446;5;[2, 1, 1, 1, 2];[[1,1,4,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[5,1];30;T[2]*T[4]^3*T[7]^3+T[3]*T[6]^5+T[5]^2;
447;5;[2, 1, 1, 1, 2];[[1,1,2,1,2,0,0],[0,0,1,1,3,1,1]];[4,6];[3,1];18;T[1]^3*T[2]*T[6]^6+T[3]*T[4]^2*T[7]^3+T[5]^2;